Item # ,Product Image ,Item Lookup Code,BRAND1,Description,Ingredents ,Supplier Name,Bin Location,Wholesale Pricing ,Price,Reorder Number,Restock Level,New Order,Qty On Hand,Reorder Point,Cost,Departments,Categories,Product Title -                                                    Extended Description (ED),BRAND2,Date Created,Last Sold,Available Quantity,Quantity Committed,Last Cost
,,810078422105,RHL 1,TURMERIC 1 OZ,,RAY'S HEALTHY LIVING -,10/5 >*,,13.89,4004541,0,,4,0,7,JOINT SUPPORT,JOINT AND ARTHRITIS,"Ray's Healthy Living, Turmeric, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:28,10/18/2025 15:15,4,0,6.6
,,810078422112,RHL 1,TUMERIC 2 OZ,,RAY'S HEALTHY LIVING -,10/5 >*,,23.99,4004542,0,,3,0,12.9,JOINT SUPPORT,JOINT AND ARTHRITIS,"Ray's Healthy Living, Turmeric, Herbal Supplement, Net Wt. 2 fl oz (59ml)",,9/1/2019 22:01,1/9/2026 17:06,3,0,12.3
,,810078422198,RHL 1,WHITE WILLOW 1 OZ,,RAY'S HEALTHY LIVING -,10/5 >*,,12.89,4004581,0,,3,0,7,JOINT SUPPORT,JOINT AND ARTHRITIS,"Ray's Healthy Living, White Willow, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:15,10/18/2025 15:15,3,0,6.3
,,810078422952,RHL 1,JOINT TONIC 1 OZ,,RAY'S HEALTHY LIVING -,10/5 >*,,13.99,4004791,0,,6,0,7.15,JOINT SUPPORT,JOINT AND ARTHRITIS,"Ray's Healthy Living, Joint Tonic, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,9/23/2019 19:25,11/13/2024 17:33,6,0,0
,,4004077,RHL 1,FO-TI 32 OZ,,RAY'S HEALTHY LIVING -,11/2 >*,,12.99,4004077,0,,0,0,7,PERSONAL SUPPORT,HAIR,"Ray's Healthy Living, Fo-Ti, Herbal Supplement, Net Wt. 32 fl oz (30ml)",,12/6/2024 20:16,,0,0,0
,,810078421405,RHL 1,FO-TI 1 OZ,,RAY'S HEALTHY LIVING -,11/2 >*,,12.99,4004071,0,,3,0,7,PERSONAL SUPPORT,HAIR,"Ray's Healthy Living, Fo-Ti, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:38,3/13/2026 16:02,3,0,6.6
,,810078423034,RHL 1,LUSTROUS HAIR 2 OZ,,RAY'S HEALTHY LIVING -,11/2 >*,,21.99,4016712,0,,3,0,13.3,PERSONAL SUPPORT,HAIR - SKIN - NAILS,"Ray's Healthy Living, Lustrous Hair, Herbal Supplement, Net Wt. 2 fl oz (59ml)",,9/23/2019 19:38,3/30/2026 10:25,3,0,0
,,40040037,RHL 1,GLORIOUS HAIR 120 CAP,,NATURAL HEALTH CENTER ,11/2<>*,,39.99,037,0,,0,0,15,PERSONAL SUPPORT,HAIR,"Ray's Healthy Living, Glorious H, Cell Boost, Hair Grow Vitamins with Caviar Extract And Biotin , Nutritional Supplement, 120 Capsules, Made In USA",,8/2/2022 17:45,4/21/2025 13:38,0,0,0
,,810078420583,RHL 1,HAIR/SKIN/NAILS 90 VCAP,,RAY'S HEALTHY LIVING -,11/3 >*,,19.99,4021650,0,,2,0,10.5,,,"Ray's Healthy Living, Hair Skin Nails, 100% Vegan, Herbal Supplement, 90 Veggie Caps",,7/3/2020 14:26,6/4/2026 18:02,2,0,7.8557
,,810078423850,RHL 1,EAR CLEAR OIL 1 OZ,,RAY'S HEALTHY LIVING -,11/5 >*,,13.99,4005401,0,,2,0,5.66,PERSONAL SUPPORT,EAR,"Ray's Healthy Living, Ear Clear Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:34,7/18/2026 12:51,2,0,6.7
,,810078421016,RHL 1,ARNICA 1 OZ,,RAY'S HEALTHY LIVING -,11/6 >*,,14.99,4003721,0,,3,0,7.5,JOINT SUPPORT,PAIN MANAGMENT,"Ray's Healthy Living, Arnica, Net Wt. 1 fl oz (30ml)",,9/23/2019 12:14,5/16/2026 16:39,3,0,0
,,810078421221,RHL 1,COMFREY 1 OZ,,RAY'S HEALTHY LIVING -,11/6 >*,,13.99,4003951,0,,5,0,5.51,PERSONAL SUPPORT,FIRST AID,"Ray's Healthy Living, Comfrey Liquid Extract, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,9/15/2020 22:23,2/19/2025 19:27,5,0,0
,,810078422501,RHL 1,COLLOIDAL PLUS SPRAY      1 OZ,,RAY'S HEALTHY LIVING -,11/6 >*,,14.99,4008951,0,,0,0,4.88,PERSONAL SUPPORT,FIRST AID,"Ray's Healthy Living, Colloidal Silver Plus, Bio Protectant, Herbal Topical Spray, 1 fl oz (30ml)",,9/1/2019 23:21,1/15/2025 15:38,0,0,6.1
,,810078423140,RHL 1,OAK IVY SPRAY 2 OZ,,RAY'S HEALTHY LIVING -,11/6 >*,,13.89,4008852,0,,2,0,7.4,PERSONAL SUPPORT,FIRST AID,"Ray's Healthy Living, Oak & Ivy, Itch Relief, Topical Herbal Spray, Net Wt. 2 fl oz (59ml)",,9/1/2019 22:52,6/1/2022 17:39,2,0,7
,,810078423867,RHL 1,FUNK FEET OREG AF 1 OZ,,RAY'S HEALTHY LIVING -,11/6 >*,,24.99,4020131,0,,3,0,11,PERSONAL SUPPORT,FIRST AID,"Ray's Healthy Living, Funky Feet with Oregano Oil, Net Wt. 1 fl oz (30ml)",,9/27/2019 22:18,3/14/2023 17:29,3,0,0
,,810078423898,RHL 1,TEA TREE TOPICAL 1 OZ,,RAY'S HEALTHY LIVING -,11/6 >*,,11.99,4012241,0,,2,0,6.3,PERSONAL SUPPORT,FIRST AID,"Ray's Healthy Living, Tea Tree Oil, Melaleuca alternifolia, Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:26,4/21/2026 14:14,2,0,6.3
,,810078423911,RHL 1,BUG SHIELD 1 OZ,,RAY'S HEALTHY LIVING -,11/6 >*,,13.99,4021231,0,,2,0,6.6,PERSONAL SUPPORT,FIRST AID,"Ray's Healthy Living, Bug Shield, 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:50,7/22/2025 13:28,2,0,8
,,810078422433,RHL 1,BREATH FRESH (CIN) 1 OZ,,RAY'S HEALTHY LIVING -,12/2 >*,,9.99,4016721,0,,2,0,3.9,HYGIENE,MOUTHWASH,"Ray's Healthy Living, Breath Freshener, Cinnamon, Mint Spray, Net Wt. 1 fl oz (30ml)",,3/31/2023 21:39,6/16/2026 14:27,2,0,0
,,810078423171,RHL 1,PEPMINT BREATH 1 OZ,,RAY'S HEALTHY LIVING -,12/2 >*,,9.99,4011061,0,,3,0,4.5,HYGIENE,MOUTHWASH,"Ray's Healthy Living, Peppermint Breath Spray, Net Wt. 1 fl oz (30ml)",,9/1/2019 22:50,1/21/2026 16:36,3,0,4.3
,,810078423874,RHL 1,HEALTHY GUMS 1 OZ,,RAY'S HEALTHY LIVING -,12/2 >*,,19.99,4020141,0,,5,0,6.6,HYGIENE,MOUTHWASH,"Ray's Healthy Living, Healthy Gums with Oregano, Clove Bud, Peppermint Oil, Tea Tree Oil , Rosemary Leaf, Net Wt. 1 fl oz (30ml)",,9/1/2019 22:55,12/24/2025 12:21,5,0,8.4
,,788332225512,RHL 1,BERGAMOT (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,19.99,4022551,0,,3,0,9,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Bergamot (Citrus bergamia), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:49,1/9/2024 15:36,3,0,10.5
,,810078423928,RHL 1,CEDAR HIMA (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,13.99,4018281,0,,1,0,4.13,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Cedarwood Himalayan (Cedrus deodara), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:53,7/16/2026 10:33,1,0,0
,,810078423935,RHL 1,CINNAMON LEAF (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,9.99,4018291,0,,4,0,4.2,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Cinnamon Leaf ( Cinnamomum zeylanicum), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:51,11/5/2024 11:37,4,0,4.65
,,810078423942,RHL 1,CITRONELLA (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,13.99,4021161,0,,2,0,5.25,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Citronella (Cymbopogon winterianus), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/7/2019 22:42,7/10/2026 16:22,2,0,5
